id_planeador;Cliente;Gestor;DC;PR;PD;FB;MT;OC;CE;Descripcion;Fecha_solicitud;Prioridad;Dificultad;Progreso;FL;Fecha_Estimada;Fecha_Entrega;Observaciones;Revision;Estado;Referencia
P0068;Pacific Stone;AGM;Y;Y;N;Y;Y;N;N;Bandas transportadoras, elevadores de cangilones molinos de impacto chutes y estructuras en general de acuerdo a las especificaciones del cliente.;2012-04-25 12:00:00;MA;9;100;Y;2012-05-02 12:00:00;2012-05-02 12:00:00;;;A;D-3259-12
P0069;Herrera Ingenieria;FAP;N;Y;N;Y;N;N;N;50 rodillos para banda de 24" de longitud 9 1-2";2012-05-02 12:00:00;MA;2;100;N;2012-05-02 12:00:00;2012-05-03 12:00:00;;R1;A;D-3410-12
P0070;Trailersman;FAP;Y;N;N;N;N;N;N;Estación de carga 4" para banda de 24" Cant. 11. Estación de retorno 4" con soporte para banda de 24" Cant. 4.Tambor de Cabeza 12" encauchetado eje 2" 1045. Tambor de cola 12" aspas, eje 2" 1045 Cant. 1. Tambor de cola 12" aspas, eje 2" 1045 Cant. 1.Tensor cantonera, tornillo cincado 1", par.";2012-05-02 12:00:00;MA;3;100;N;2012-05-02 12:00:00;2012-05-02 12:00:00;;;A;D-3261-12
P0071;Pavimentos Colombia;FAP;N;Y;Y;Y;N;N;N;Tornillos de 12" x 32' Cant. 2";2012-05-05 12:00:00;MA;7;100;N;2012-05-07 12:00:00;2012-05-11 12:00:00;Tener en cuenta los planos enviados por el cliente.;;A;D-3282-12
P0072;Manpro;DSC;N;Y;Y;Y;N;N;N;Tornillo para capacidad de 25 tph 8,6 m @ 0º Cant. 1, 70 tph 7,0 m @ 0º Cant. 1, 25 tph 4,4 m @ 0º Cant. 1, 25 tph 4,4 m @ 0º Cant. 1";2012-04-25 12:00:00;A;5;15;N;2012-05-08 12:00:00;2012-04-27 12:00:00;Se cunple el tiempo maximo de recepción de cotización.;;C;
P0073;Pacific Stone;FAP;N;Y;Y;Y;N;N;N;Actualización de los precios ofertados a Pacific Stone, incluyendo pasarelas;2012-05-07 12:00:00;MA;7;100;N;2012-05-09 12:00:00;2012-05-09 12:00:00;;R3;A;
P0074;ABC Plasticos;JSE;Y;Y;N;Y;N;N;N;Rodillos de 2" x 800 mm en dostipos: encauchetado y normal.";2012-05-09 12:00:00;A;2;100;N;0000-00-00 00:00:00;2012-05-09 12:00:00;No se oferta encauchetado, pero se propone el uso de cauchos de impacto.;;A;
P0075;PM Ingenieria y Calderas;FAP;N;Y;Y;Y;N;N;N;Tornillo transportador de 12" x 14 m para manejo de cascarilla de arroz.";2012-05-09 12:00:00;A;4;100;N;0000-00-00 00:00:00;2012-05-10 12:00:00;;;A;D-3276-12
P0076;Pacific Stone;FAP;Y;Y;N;Y;N;N;N;Revisar el tema a las cubiertas para poder completar adecuadamente la oferta.;2012-05-12 12:00:00;MA;5;100;N;2012-05-14 12:00:00;2012-05-16 12:00:00;Basarse en el presupuesto realizado para P.074;;A;
P0077;Provias;FAP;Y;N;N;N;Y;N;N;Montaje de placas de impacto para molino MIS-40;2012-05-14 12:00:00;MA;2;100;Y;2012-05-14 12:00:00;2012-05-14 12:00:00;;;A;D-3287-12
P0078;Agreganos Nacionales;FAP;Y;N;N;N;N;N;N;Repuestos para trituradora CT1252;2012-05-16 12:00:00;MA;2;100;Y;2012-05-16 12:00:00;2012-05-16 12:00:00;;;A;OT-1526
P0079;Vulcatec;JSE;Y;N;N;N;N;N;N;10 estaciones de carga B35-24 y 7 estaciones de retorno CR-24.;2012-05-16 12:00:00;MA;2;100;Y;2012-05-16 12:00:00;2012-05-16 12:00:00;;;A;OT-1527
P0080;Conalcreto Ltda;AGM;N;Y;N;Y;N;N;N;3 Artesas de impacto, 18 Artesas de carga, 5 de retorno, 2 de tambores de cabeza y 2 tambores de cola.;2012-05-14 12:00:00;MA;5;100;N;2012-05-16 12:00:00;2012-05-17 12:00:00;;;A;D-3294-12
P0081;PM Ingenieria y Calderas;FAP;N;Y;Y;Y;N;N;N;Tornillo transportador de 6" x 2,5 m ducto de entrada de longitud 1000 mm";2012-05-17 12:00:00;M;4;10;N;2012-05-17 12:00:00;2012-05-17 12:00:00;El proceso es tomado por Fredy.;;C;
P0082;Pavimentos Colombia;FAP;N;Y;N;Y;N;N;N;Rodillo de carga 4 1-2" x 15", rodillo  de impacto 4 1-2" x 15", rodillo de retorno 48", Todos con puntas hexagonales";2012-05-18 12:00:00;B;3;100;N;0000-00-00 00:00:00;2012-05-18 12:00:00;Se suministran los precios a FAP;;A;
P0083;Trailersman;FAP;N;Y;N;Y;N;N;N;Componentes para banda de 30" x 20 m. Zaranda de 1,5 x 4,5 m - 2 deck";2012-05-18 12:00:00;M;4;100;N;0000-00-00 00:00:00;2012-05-22 12:00:00;Se envia similar a la cotización realizada con anterioridad.;;A;D-3301-12
P0084;Cemex;JMR;Y;N;Y;N;N;N;N;Calculos de potencia para 12 bandas transportadoras.;2012-05-18 12:00:00;A;4;100;Y;2012-05-18 12:00:00;2012-05-18 12:00:00;Se envian los datos de potencias calculadas al gestor comercial.;;A;
P0085;Improintec;JSE;Y;N;N;N;N;N;N;Enviar información de las zarandas TRIO y las zarandas fabricadas por Dismet, tambien la información requerida para poder realizar una cotización.;2012-05-23 12:00:00;M;2;100;N;0000-00-00 00:00:00;2012-05-23 12:00:00;Se envia información a la espera de recibir retroalimentación en los proximos días.;;A;
P0086;Coel Ingenieria Ltda;DSC;N;Y;Y;Y;N;N;N;Tornillo transportador para dosificación de concreto 20 tph. Longitud 4100 mm Cant. 1, Longitud 6000 mm Cant. 1, Inclinación 17º, diam. 8";2012-05-23 12:00:00;A;4;100;N;2012-05-23 12:00:00;2012-05-24 12:00:00;Enviar a correo:alozano@coelingenieria.com, 4073737 - 3166469499";;A;
P0087;Manpro;FAP;N;Y;Y;Y;N;N;N;Tonillos con las siguientes caracteristicas: tornillo de 8,6 m - 25 tph cant. 1, tornillo 7,0 m - 70 tph cant. 1, tornillo de 4,4 m - 25 tph cant. 2. Todos con sistema de potencia, acople y trasnmisión.";2012-05-23 12:00:00;A;6;100;N;0000-00-00 00:00:00;2012-05-31 12:00:00;El material a transportar es Harina de crudo, densidad de 0,855 t/m³, granulometria de malla 200 = 75 micras, humedad 1%, abrasivo.;;A;
P0088;Efren Urrutia;AGM;N;Y;N;Y;N;N;N;6 rodillos de retorno 3 1-2" x 600 mm. 2 tambores 12" x 600 mm con eje de 80 mm, con manguitos de fijación. 30 estaciones de carga de 4 1-2" x 7" @ 30º, 6 estaciones de impacto de las mismas dimensiones.";2012-05-23 12:00:00;MA;4;100;N;2012-05-24 12:00:00;2012-05-24 12:00:00;;;A;D-3313-12
P0089;Agregados Nacionales;FAP;N;Y;N;Y;N;N;N;Banda transportadora 24" x 6 m rodillos CEMA C de 5" @ 35º, en canal C de 6";2012-05-24 12:00:00;MA;3;100;Y;2012-05-24 12:00:00;2012-05-24 12:00:00;;;A;
P0090;Pavimentos Colombia;FAP;Y;Y;N;N;N;N;N;Cotizar componentes para banda de 42" Carga, Impacto, Retorno y tambores";2012-05-24 12:00:00;MA;4;100;Y;2012-05-24 12:00:00;2012-05-24 12:00:00;;;A;D-3310-12
P0091;--;FAP;N;Y;N;Y;N;N;N;Bandas transportadoras de: 36" x 20 m cant. 1, 30" x 20 m cant. 1, 24" x 18 m cant. 3. Todas fabricadas en canal C de 6";2012-05-24 12:00:00;M;5;10;N;2012-05-25 12:00:00;2012-05-26 12:00:00;El proceso ;;C;
P0092;BMG S.A.S.;HAG;Y;Y;N;Y;N;N;N;Bandas transportadoras para planta de trituración.;2012-05-24 12:00:00;A;6;100;N;2012-05-25 12:00:00;2012-05-29 12:00:00;;;A;
P0093;Efren Urrutia;JSE;Y;Y;Y;N;N;N;N;Actualización de precio para tambor ofertado en D-3313-12, aumentando el diametro del eje a 3 1-2";2012-05-26 12:00:00;A;3;100;N;2012-05-26 12:00:00;2012-05-26 12:00:00;;;A;
P0094;IM Ingenieria;FAP;N;Y;N;Y;N;N;N;Componentes para banda de 20" @ 35º, 19 estaciones de carga, 8 estaciones de impacto, 12 de estaciones de retorno. Todo en tuberia de 4" CEMA C";2012-05-28 12:00:00;A;3;100;N;2012-05-28 12:00:00;2012-05-28 12:00:00;;;A;D-3320-12
P0095;Pacific Stone;FAP;Y;N;N;N;N;N;N;De acuerdo a la cotización enviada por Rexnord, organizar la cottización al respecto.;2012-05-30 12:00:00;MA;2;100;N;2012-05-30 12:00:00;2012-05-30 12:00:00;;;A;
P0096;Bandas y Bandas;JSE;N;Y;N;Y;N;N;N;Rodillos de carga e impacto para bandas de 32" y 38", de diametro 4";2012-05-31 12:00:00;M;2;100;N;2012-06-01 12:00:00;2012-06-05 12:00:00;Enviar correo a ventas2@bandasybandasltda.com;;A;D-3340-12
P0097;--;FAP;N;Y;Y;Y;N;N;N;Tornillo transportador 6" de diametro";2012-06-01 12:00:00;A;3;100;N;2012-06-01 12:00:00;2012-06-05 12:00:00;;R1;A;
P0098;Rocio;HAG;N;Y;N;Y;N;N;N;Bandas transportadoras de las siguientes caracteristicas: 36" x 10 m - Cant. 1 30" x 20 m - Cant. 1 30" x 12 m - Cant. 1 18" x 18 m - Cant. 3";2012-06-02 12:00:00;M;4;100;N;2012-06-02 12:00:00;2012-06-02 12:00:00;;;A;
